PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
2,2018,24,3,8,3,5,64,3800,1080,5,18,0,1,2,1,1,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 660 (14 nm),"Octa core, up to 2.2 GHz",Adreno 512,1,1
1,2018,8,4,4,3,4.2,32,3300,1080,2,0,0,1,2,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 425 (28 nm),"Quad-core, 1.4 GHz",Adreno 308,0,1
1,2018,5,4,3,3,4.2,16,3300,0,2,0,0,1,2,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 425 (28 nm),"Quad-core, 1.4 GHz",Adreno 308,0,1
0,2018,5,3,1,3,4.2,8,2600,0,2,0,0,1,2,0,0,PLS TFT Touchscreen,1,Exynos 7570 Quad (14 nm),"Quad-core, 1.4 GHz",Mali-T720,0,0
1,2018,16,4,4,3,4.2,32,3500,1080,3,0,0,1,2,0,0,Super AMOLED Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1,2018,5,3,3,3,4.2,16,3000,0,3,0,0,1,2,0,0,Super AMOLED Touchscreen,0,Exynos 7570 Quad (14 nm),"Quad-core, 1.4 GHz",Mali-T720 MP2,0,0
1,2018,8,3,4,3,4.2,32,3000,1080,3,0,0,1,2,0,0,Super AMOLED Touchscreen,1,Exynos 7870 Octa (14 nm),"Octa core, 1.6 GHz",Mali-T830 MP1,1,1
3,2018,8,4,6,3,5,64,3500,1440,6,15,68,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.8 GHz",Mali-G72 MP18,1,1
1,2021,5,3,6,3,5,64,5000,1080,3,10,0,1,2,0,0,IPS LCD Touchscreen,0,MediaTek Helio G35 (12 nm),"Octa core, up to 2.3 GHz",PowerVR GE8320,1,1
4,2021,16,3,8,4,5.2,128,5000,1080,5,120,53,1,2,1,1,AMOLED Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
3,2021,16,3,8,4,5.2,128,5000,1080,5,67,53,1,2,1,1,AMOLED Touchscreen,1,MediaTek Dimensity 1200 5G (6 nm),"Octa core, up to 3.0 GHz",Mali-G77 MC9,1,1
1,2021,8,3,6,3,5.1,64,6000,1080,4,18,0,1,2,1,0,LCD Touchscreen,1,MediaTek Helio G88 (12nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
2,2021,20,4,8,4,5.2,128,4250,1080,5,33,53,1,2,1,0,AMOLED Touchscreen,1,Qualcomm Snapdragon 778G 5G (6 nm),"Octa core, up to 2.4 GHz",Adreno 642L,1,1
1,2021,8,3,6,3,5.1,64,5000,1080,4,18,0,1,2,1,0,LCD Touchscreen,1,MediaTek Helio G88 (12nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1,2021,8,2,6,4,5.1,128,5000,1080,5,18,0,1,2,1,0,IPS LCD Touchscreen,1,MediaTek Dimensity 700 5G (7 nm),"Octa core, up to 2.2 GHz",Mali-G57 MC2,1,1
2,2021,16,3,6,3,5.1,64,5020,1080,5,33,53,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 732G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
1,2021,13,3,8,3,5.1,64,5000,1080,5,33,53,1,2,1,0,AMOLED Touchscreen,1,Mediatek Helio G95 (12 nm),"Octa core, up to 2.05 GHz",Mali-G76 MC4,1,1
2,2021,20,3,8,3,5,128,5160,1080,5,33,53,1,2,1,1,IPS LCD Touchscreen,1,Qualcomm Snapdragon 860 (7 nm),"Octa core, up to 2.96 GHz",Adreno 640,1,1
2,2021,20,3,8,4,5.1,128,4520,1080,5,33,0,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 870 5G (7 nm),"Octa core, up to 3.2 GHz",Adreno 650,1,1
